"uuid","final_delta"
"dbedcedc-a8fc-4227-889d-803d9b45a8a2","1"
"6b2f191a-0422-4eab-a9c0-9bf8269fb649","1"
"104b131a-0598-40a4-8c7d-278cc2f92068","2"
"62410bc3-6fa5-4e3a-986e-9a17793b6b8c","1"
"ea1a2640-363d-47a5-ad6a-64f02d3a804c","1"
"04717d8e-f2da-4f52-96d4-2b8b2865b00a","2"
"c4382c30-2566-4339-a26f-9c1eaaa86919","2"
"ce388517-3721-43df-9433-0315a7f59b41","1"
"ff9e6973-d9c3-499e-82dd-1b9ef43762cc","1"
"b7c0290b-e546-41a3-81da-ffbb445e05c8","1"
"b8730a26-975d-48b1-9852-9d5e4cfef752","2"
"c6f9b955-6520-4edf-8761-480059a03c00","2"
"45511cbc-ac4a-4010-b8d5-d5d795f88544","1"
"fb7a8cdb-f039-4440-949d-32edf14aaf4a","2"
"5d88c049-de12-432d-95cd-033d27b75071","1"
"f7c80b4c-eda9-4a11-84ff-de2536b0e355","1"
"cf27335a-e59f-4dee-a900-4ab4c6b84c78","2"
"c52fde53-6d0a-4cd0-b1a4-b07793610982","2"
"80815c98-b335-4111-8500-916a92b8846b","2"
"d3183039-454b-419d-b3a9-f79872e34535","1"
"68652b9a-9451-49f1-a71f-d262568257cd","1"
"f20f4e17-effa-4de5-8511-66afdb0e77b3","3"
"4a87507b-774e-4d64-b5eb-70a32184187b","1"
"1377cbbd-0955-4e15-9d2c-444ace79d57c","2"
"442fd9b5-fe6c-4214-94a1-144317737c35","1"
"d7a1bbf3-7905-4d3d-8c97-c45431a0bcfc","1"
"a4992f9f-b4bb-4e9d-8750-6c8444c6dcf7","2"
"05c7ccd7-b552-4621-976a-864ae30b5ea8","2"
"adadb98d-bb91-470e-af10-0fbad94a4fbb","1"
"a3765cb6-94cf-414f-9469-6b1d666f552d","1"
"5d67390d-a07a-477c-b823-05b585f5686c","1"
"e52e0983-c88a-4d44-b6d8-affbfccaac75","2"
"6a199928-ba3d-4401-b15a-9d2d1e6765e3","2"
"396b0916-f335-4aed-a940-bba611ccec6b","2"
"ceef0d6b-e04e-46df-9392-c84b029fff6f","2"
"b6147a98-8642-463c-8fa0-78c2bced0c79","1"
"21432257-00b4-4e3e-8f6f-cdcf3c3ba5d3","2"
"ee9be469-0750-4be2-9eb5-963ee46b2cc2","2"
"516b357e-55b3-4768-b18d-d9d0823b3340","2"
"78f832e9-86b2-455c-9970-c89ef3d36f09","2"
"ae85df56-b058-43f8-a294-01cfe6273445","1"
"e8435b43-5214-465b-a683-76c71355a01b","2"
"767817a0-a10b-4d1b-a2e5-c4d67dc549ce","1"
"15c14417-70e7-452c-b58d-8e8e9974faf6","0"
"d7b64e82-7fb2-4afa-bf9c-7d3e1c97e224","2"
"c88cc6ba-72ca-4c6c-86ea-ccdac73be203","0"
"d84e1d19-dc15-4925-bb6f-4936524ed948","2"
"327bcab0-1f2a-4089-9075-2340690b639c","2"
"5c0d1024-5603-481a-b002-ac0a2bfc1b43","0"
"645dd225-2628-4d26-95da-7dfaf0e67c11","1"
"2d0e32c8-c390-4c72-84ed-d3d151b3171b","2"
"6eb117f4-bd18-4d12-96a0-14dbf649f586","2"
"8b46f4dc-a62c-49f9-9066-d529ec876d7c","1"
"55dd9ebe-5a24-47b3-b98e-bdc8c68c0900","2"
"80e12efa-6845-41bf-9239-9de2d357a3cc","1"
"70d11d4f-91c2-4880-9c6e-61027475dc7d","2"
"9a34a1d7-b75a-455c-8dd7-0595257c88a3","2"
"1c4d2560-1f31-42bd-92dc-5e3061c55cf1","2"
"e0fd04dc-7c93-42a6-8bb0-9b2afb13b670","2"
"55dc3139-51e1-4cfe-a5df-a090c49db74c","2"
"d8e59c2f-18f0-49ea-89b1-7049b28684fc","1"
"9e41197b-65c6-43af-b8e8-39b1e2fe036d","2"
"87d78060-2386-42c3-b4b5-9f90cb1a851d","2"
"ba3904fe-9d83-43f6-a103-b08c2138310d","1"
"cf889c5f-4e38-4570-bc62-d4da0531f508","1"
"13968a92-54e9-4d17-8984-5d2eef0a564e","1"
"f7d9262f-38fa-4923-bdf0-eec9969927a4","2"
"30947b1b-7a48-4257-88dd-2961022a9f94","1"
"2fd6d269-4899-4775-a133-3e7eeb67114d","2"
"206674a3-7508-4b61-9bbd-de9a3f5c14aa","2"
"06e2c930-765f-463d-9f69-c9679ce72cb7","1"
"f6096e08-d635-43e5-85e7-8d36def4d90f","1"
"9be0e0a5-093d-49e0-b2f1-770b0d454ceb","2"
"0a4c2a01-6703-42b2-be50-5da11dd4dfd5","1"
"8ca212d8-4d13-4205-bfe2-e65c4b3e8275","1"
"2e283acd-f68d-4f06-9ee0-6d91f924ebb5","1"
"42b0a999-1bca-401c-9211-4d302424ce36","0"
"720ca4a2-3b12-4242-92dd-a0ff07a78970","2"
"d3aebe28-b99b-4861-9985-a63d303b2414","1"
"9304fe9d-f728-4cb7-a1f3-d3a48b640bfb","1"
"017e6fe8-afea-45b5-83b1-cc7b11c158a3","1"
"10c12373-985b-4389-8322-d045e9eeda76","1"
"697c30a1-f523-4f5c-ab7f-4ea8f8d16db4","1"
"75fd9401-be02-4b9d-8f81-0167b4e21957","2"
"e0e3a19a-778d-4bef-a91b-6739007468a7","1"
"67823734-1af8-47ce-b206-8e95aa1e7a10","2"
"9ea1a330-3a0a-4710-9189-0c313c6620b2","2"
